,Set size (unique),Median of d_kNN (k=10),Median of inner pairwise normalized Levenshtein distance,Percentage of unique (%),Normalized Shannon entropy (AA),sqrt(JSD) by length,sqrt(JSD) by AA,Coverage <= 0.2,Median of minimal Levenshtein distance to the nearest neighbour among real CPPs
R (all real),1292,0.4329437229437229,0.8611111111111112,96.996996996997,0.9191279355556491,0.0,0.0,,0.0
Training (Generator),538,0.38362312030075185,0.8529411764705882,96.2432915921288,0.905273770415004,0.13602256822981995,0.061163716587868795,0.5464396284829721,0.0
Training (Classifier),202,0.5103278895345191,0.8888888888888888,99.50738916256158,0.9190576851688775,0.21115878357872703,0.1152219857132625,0.3235294117647059,0.0
Training (Regressor),223,0.43981338425303945,0.8636363636363636,96.95652173913044,0.8977279472861605,0.31077938639723074,0.1466574100185559,0.21749226006191952,0.0
